"MacroTrends Data Download"
"Silver Prices - 100 Year Historical Chart"
"Note: Real datasets are adjusted for inflation using the headline Consumer Price Index (CPI) with the current month as the base."

"Disclaimer and Terms of Use: Historical data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


date,real,nominal
1967-03-01,11.48,1.296
1967-04-01,11.52,1.304
1967-05-01,14.18,1.611
1967-06-01,14.89,1.696
1967-07-01,16.14,1.844
1967-08-01,14.68,1.682
1967-09-01,14.88,1.710
1967-10-01,16.29,1.878
1967-11-01,17.57,2.032
1967-12-01,19.43,2.253
1968-01-01,16.56,1.932
1968-02-01,18.43,2.156
1968-03-01,18.96,2.225
1968-04-01,19.93,2.345
1968-05-01,20.59,2.430
1968-06-01,21.07,2.501
1968-07-01,18.47,2.205
1968-08-01,18.94,2.268
1968-09-01,17.78,2.135
1968-10-01,15.80,1.908
1968-11-01,16.01,1.939
1968-12-01,16.25,1.974
1969-01-01,16.43,2.001
1969-02-01,14.88,1.823
1969-03-01,14.82,1.830
1969-04-01,14.23,1.767
1969-05-01,14.29,1.780
1969-06-01,12.73,1.594
1969-07-01,12.72,1.602
1969-08-01,13.43,1.700
1969-09-01,14.95,1.897
1969-10-01,15.63,1.995
1969-11-01,15.04,1.930
1969-12-01,14.20,1.832
1970-01-01,14.81,1.915
1970-02-01,14.80,1.924
1970-03-01,14.58,1.906
1970-04-01,13.10,1.726
1970-05-01,12.16,1.606
1970-06-01,12.30,1.633
1970-07-01,13.35,1.781
1970-08-01,14.06,1.876
1970-09-01,12.59,1.689
1970-10-01,13.44,1.812
1970-11-01,11.87,1.608
1970-12-01,12.15,1.655
1971-01-01,11.72,1.596
1971-02-01,11.82,1.613
1971-03-01,12.60,1.725
1971-04-01,12.37,1.697
1971-05-01,11.86,1.635
1971-06-01,11.39,1.582
1971-07-01,11.43,1.592
1971-08-01,10.77,1.503
1971-09-01,10.11,1.411
1971-10-01,9.34,1.307
1971-11-01,9.58,1.340
1971-12-01,9.82,1.381
1972-01-01,10.87,1.528
1972-02-01,10.45,1.477
1972-03-01,11.28,1.598
1972-04-01,11.30,1.605
1972-05-01,10.78,1.535
1972-06-01,11.05,1.577
1972-07-01,12.61,1.808
1972-08-01,13.40,1.925
1972-09-01,12.21,1.758
1972-10-01,12.74,1.843
1972-11-01,13.00,1.886
1972-12-01,14.05,2.043
1973-01-01,14.04,2.047
1973-02-01,17.33,2.544
1973-03-01,14.88,2.204
1973-04-01,14.55,2.171
1973-05-01,17.29,2.597
1973-06-01,17.94,2.713
1973-07-01,19.14,2.901
1973-08-01,17.34,2.676
1973-09-01,18.25,2.822
1973-10-01,18.47,2.881
1973-11-01,18.98,2.980
1973-12-01,20.82,3.291
1974-01-01,25.46,4.060
1974-02-01,35.82,5.784
1974-03-01,32.83,5.369
1974-04-01,34.82,5.718
1974-05-01,29.68,4.935
1974-06-01,28.51,4.779
1974-07-01,29.60,5.002
1974-08-01,24.95,4.268
1974-09-01,25.56,4.425
1974-10-01,27.71,4.845
1974-11-01,26.34,4.641
1974-12-01,25.02,4.442
1975-01-01,23.03,4.105
1975-02-01,25.07,4.503
1975-03-01,23.71,4.275
1975-04-01,24.05,4.353
1975-05-01,24.83,4.520
1975-06-01,25.42,4.662
1975-07-01,27.26,5.055
1975-08-01,25.04,4.652
1975-09-01,24.22,4.525
1975-10-01,22.32,4.192
1975-11-01,21.76,4.117
1975-12-01,22.25,4.225
1976-01-01,20.87,3.970
1976-02-01,22.19,4.236
1976-03-01,21.19,4.053
1976-04-01,23.40,4.492
1976-05-01,24.36,4.710
1976-06-01,25.11,4.879
1976-07-01,23.10,4.512
1976-08-01,21.03,4.130
1976-09-01,22.19,4.372
1976-10-01,21.87,4.332
1976-11-01,21.63,4.291
1976-12-01,22.01,4.382
1977-01-01,22.46,4.495
1977-02-01,23.57,4.766
1977-03-01,23.74,4.832
1977-04-01,23.38,4.798
1977-05-01,22.13,4.565
1977-06-01,21.71,4.509
1977-07-01,21.66,4.521
1977-08-01,21.60,4.522
1977-09-01,22.31,4.687
1977-10-01,23.21,4.892
1977-11-01,22.60,4.787
1977-12-01,22.77,4.837
1978-01-01,23.38,4.998
1978-02-01,23.30,5.014
1978-03-01,25.31,5.490
1978-04-01,22.95,5.018
1978-05-01,24.61,5.430
1978-06-01,23.63,5.271
1978-07-01,25.32,5.692
1978-08-01,24.68,5.573
1978-09-01,25.12,5.715
1978-10-01,27.07,6.215
1978-11-01,26.13,6.026
1978-12-01,26.43,6.122
1979-01-01,28.91,6.755
1979-02-01,33.02,7.806
1979-03-01,31.46,7.511
1979-04-01,33.41,8.069
1979-05-01,35.84,8.766
1979-06-01,35.40,8.755
1979-07-01,36.25,9.065
1979-08-01,42.82,10.811
1979-09-01,65.82,16.800
1979-10-01,65.26,16.790
1979-11-01,72.48,18.822
1979-12-01,114.83,30.130
1980-01-01,134.31,35.750
1980-02-01,133.87,36.132
1980-03-01,69.51,19.050
1980-04-01,46.56,12.900
1980-05-01,49.84,13.950
1980-06-01,59.51,16.840
1980-07-01,54.95,15.550
1980-08-01,58.71,16.732
1980-09-01,73.95,21.250
1980-10-01,65.84,19.100
1980-11-01,64.33,18.814
1980-12-01,54.31,16.034
1981-01-01,45.19,13.450
1981-02-01,41.34,12.434
1981-03-01,39.74,12.030
1981-04-01,37.15,11.322
1981-05-01,35.41,10.880
1981-06-01,28.23,8.751
1981-07-01,27.57,8.640
1981-08-01,30.51,9.635
1981-09-01,29.42,9.380
1981-10-01,28.95,9.250
1981-11-01,25.77,8.263
1981-12-01,25.68,8.257
1982-01-01,25.67,8.280
1982-02-01,24.41,7.901
1982-03-01,22.36,7.230
1982-04-01,21.52,6.988
1982-05-01,19.21,6.295
1982-06-01,18.48,6.132
